Image,Title,Rating,Price,Ad/Organic Result
https://m.media-amazon.com/images/I/71bRz-UEILL._AC_UY218_.jpg,"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu",4.0,"22,995",Organic
https://m.media-amazon.com/images/I/71Z8mjuvGmL._AC_UY218_.jpg,"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1315U - (8GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" (39.62cm)/Ash Grey/1.57 kg",4.6,"22,995",Organic
https://m.media-amazon.com/images/I/51pu+WsoXaL._AC_UY218_.jpg,Lenovo V15 Intel Celeron n4500 FHD 15.6 inch Laptop / 8GB DDR4 Ram and 256GB NVME SSD/Intel UHD Graphics/Windows 11 & MS-Office/Privacy Shutter/Black / 1.6kg / 1 Year Brand Warranty,4.4,"22,995",Organic
https://m.media-amazon.com/images/I/71duqJdFGOL._AC_UY218_.jpg,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight",No Rating,"1,67,990",Organic
https://m.media-amazon.com/images/I/81fvJauBWDL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H 12th Gen, 16GB RAM, 512GB SSD, FHD 250Nits, 14""/35.5cm, Windows 11, MSOffice 21, Grey, 1.37Kg, 83EQ005VIN,1Yr Warranty,Alexa Built-in,3 mon. GamePass Laptop",3.9,"1,67,990",Organic
https://m.media-amazon.com/images/I/51ogdx1gOtL._AC_UY218_.jpg,"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250nits, Standard Keyboard, Windows 11+MSO'21 & 15 Month McAfee, Black, 1.62kg",3.8,"1,67,990",Organic
https://m.media-amazon.com/images/I/71gaqhm080L._AC_UY218_.jpg,"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop",4.0,"1,67,990",Sponsored
https://m.media-amazon.com/images/I/712vCLbaXGL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 1, Intel Core Celeron N4020, 8GB RAM, 512GB SSD, HD, 14"", Windows 11 Home, MS Office 21, Cloud Grey, 1.3Kg, 82V6009LIN, 1Yr Warranty, Thin and Light Laptop",3.7,"1,67,990",Sponsored
https://m.media-amazon.com/images/I/51gdnePMkNL._AC_UL640_QL65_.jpg,iBELL SL-30B Digital Electronic Safe Locker for Personal and Office Use | 30L Black Locker with White LED Light and Emergency Key Access ..,No Rating,"6,160",Sponsored
https://m.media-amazon.com/images/I/5119-Rz0C4L._AC_UY218_.jpg,"(Refurbished) HP 250 G7 7th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM|1 TB HDD GB HDD|15.5"" HD|Windows 10 Pro|Webcam|Intel HD Graphics)",No Rating,"15,499",Organic
https://m.media-amazon.com/images/I/81s4wKEliIL._AC_UY218_.jpg,"Dyazo Water Resistant Laptop Sleeve with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey",4.3,"15,499",Organic
https://m.media-amazon.com/images/I/81fvJauBWDL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H 12th Gen, 16GB RAM, 512GB SSD, FHD 250Nits, 14""/35.5cm, Windows 11, MSOffice 21, Grey, 1.37Kg, 83EQ005VIN,1Yr Warranty,Alexa Built-in,3 mon. GamePass Laptop",3.9,"15,499",Organic
https://m.media-amazon.com/images/I/510uTHyDqGL._AC_UY218_.jpg,Microsoft New Surface Laptop (7th Edition) - Windows 11 Home Copilot + PC - 13.8” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Plus (10 Core) - 16GB RAM - 512GB SSD - Graphite - ZGM-00059,5.0,"15,499",Organic
https://m.media-amazon.com/images/I/71B0Gu0Iz1L._AC_UY218_.jpg,"Samsung Galaxy Book3 Pro Intel 13th Gen i5 EvoTM 35.56cm(14"") Dynamic Amoled 2X, 3K Display, 120Hz, Ultra Thin & Light Laptop(16 GB/512 GB SSD/Windows 11/MS Office/Graphite/1.17Kg), NP940XFG-KC1IN",3.7,"15,499",Organic
https://m.media-amazon.com/images/I/81V3gzZjLqL._AC_UY218_.jpg,"ASUS Vivobook 16, Snapdragon X Processor,(Qualcomm Adreno iGPU/16GB RAM/512GB SSD/Windows 11 Home/MS Office 365 Basic (1Year)*/16"" FHD+/AI PC/Cool Silver/1.88 kg), X1607QA-MB050WS",5.0,"15,499",Sponsored
https://m.media-amazon.com/images/I/81Hlhi09+-L._AC_UY218_.jpg,"Lenovo IdeaPad Slim 5 Snapdragon X Plus X1P-42-100 (16GB RAM/1TB SSD/Integrated Qualcomm Adreno/Copilot+ PC/WUXGA IPS Display/14 (35.5cm)/Windows 11/MS Office 2021/Grey/1.89Kg), 83HL0035IN AI Laptop",5.0,"15,499",Sponsored
https://m.media-amazon.com/images/I/719OMbh40jL._AC_UY218_.jpg,"HP 15, AMD Ryzen 3 7320U, 8GB LPDDR5, 512GB SSD, Anti-Glare, Micro-Edge, 15.6-inch (39.6 cm), FHD, AMD Radeon Graphics, 1080p HD Camera, (Win 11, Silver, 1.59 kg), fc0154AU",4.0,"15,499",Organic
https://m.media-amazon.com/images/I/51Llzb1uakL._AC_UY218_.jpg,"Acer Aspire 3 Intel Core i3-1305U Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (16 GB RAM/512 GB SSD/WiFi 6/Intel Graphics/Win11 Home/65W) A324-53, Steel Gray, 1.45KG",No Rating,"33,990",Organic
https://m.media-amazon.com/images/I/71TwTzVcVqL._AC_UY218_.jpg,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",3.9,"33,990",Organic
